
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:3A:35:F9:31:B9, 2020-02-21 09:12:21, 2020-02-21 09:12:36, 11,  54, WPA2, CCMP, PSK, -85,        6,        0,   0.  0.  0.  0,  20, HomeSweetHome 2.4Ghz, 
F0:3E:90:2F:9F:B8, 2020-02-21 09:12:21, 2020-02-21 09:12:36, 11,  54, OPN, ,   , -85,       11,        0,   0.  0.  0.  0,  12, Wireless@APU, 
F0:3E:90:B5:5F:D8, 2020-02-21 09:12:22, 2020-02-21 09:12:22, -1,  -1, , ,   , -85,        0,        0,   0.  0.  0.  0,   0, , 
F0:3E:90:6F:9F:B8, 2020-02-21 09:12:21, 2020-02-21 09:12:36, 11,  54, , CCMP TKIP, PSK, -85,        5,        0,   0.  0.  0.  0,   8, VOIP@APU, 
F0:3E:90:75:5F:D8, 2020-02-21 09:12:22, 2020-02-21 09:12:22, -1,  -1, , ,   , -84,        0,        0,   0.  0.  0.  0,   0, , 
F0:3E:90:35:5F:D8, 2020-02-21 09:12:22, 2020-02-21 09:12:22, -1,  -1, , ,   , -84,        0,        0,   0.  0.  0.  0,   0, , 
34:E8:94:46:19:6B, 2020-02-21 09:12:19, 2020-02-21 09:12:33,  1,  54, WPA2, CCMP, PSK, -84,        5,        2,   0.  0.  0.  0,  22, Parkhill Suites 2.4Ghz, 
F0:3E:90:AF:9F:B8, 2020-02-21 09:12:21, 2020-02-21 09:12:35, 11,  54, OPN, ,   , -83,        9,        0,   0.  0.  0.  0,  11, Visitor@APU, 
AC:84:C6:30:88:FD, 2020-02-21 09:12:18, 2020-02-21 09:12:36, 11,  54, WPA2, CCMP TKIP, PSK, -81,       15,        0,   0.  0.  0.  0,  20, Angah-TIME2.4Ghz_EXT, 
34:E8:94:4A:A4:6F, 2020-02-21 09:12:21, 2020-02-21 09:12:36,  6,  54, WPA2, CCMP, PSK, -82,       16,        0,   0.  0.  0.  0,  12, boyot-2.4Ghz, 
50:64:2B:89:2C:C7, 2020-02-21 09:12:19, 2020-02-21 09:12:36,  1,  54, WPA2, CCMP TKIP, PSK, -81,       14,        1,   0.  0.  0.  0,  16, zahid90 2.4_plus, 
34:E8:94:4B:4D:4F, 2020-02-21 09:12:19, 2020-02-21 09:12:37,  1,  54, WPA2, CCMP, PSK, -79,       23,        2,   0.  0.  0.  0,  18, EH HOME-TIME2.4Ghz, 
10:BE:F5:19:F2:70, 2020-02-21 09:12:18, 2020-02-21 09:12:37,  1,  54, WPA2, CCMP TKIP, PSK, -78,       16,        2,   0.  0.  0.  0,  12, Wifi24@unifi, 
C4:71:54:40:E2:87, 2020-02-21 09:12:18, 2020-02-21 09:12:38,  1,  54, WPA2, CCMP, PSK, -64,       72,        6,   0.  0.  0.  0,  10, yjhome 2.4, 
34:E8:94:7F:18:D7, 2020-02-21 09:12:18, 2020-02-21 09:12:37,  1,  54, WPA2, CCMP, PSK, -54,       25,        1,   0.  0.  0.  0,  13, D2713A 2.4Ghz, 
58:D5:6E:A1:2A:F6, 2020-02-21 09:12:19, 2020-02-21 09:12:37, 13, 720, WPA2, CCMP, PSK, -44,       29,        0,   0.  0.  0.  0,  17, DLINK-TIME 2.4GHz, 
B0:4E:26:F2:47:64, 2020-02-21 09:12:32, 2020-02-21 09:12:32, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
CC:B8:A8:33:A3:96, 2020-02-21 09:12:36, 2020-02-21 09:12:36,  1,  54, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,  24, midr-cardvr-v1_mideva396, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3C:CD:5D:7C:EC:9B, 2020-02-21 09:12:30, 2020-02-21 09:12:30, -84,        1, (not associated) ,
CC:2D:83:03:43:29, 2020-02-21 09:12:20, 2020-02-21 09:12:20, -81,        5, (not associated) ,
04:B1:67:47:D1:F2, 2020-02-21 09:12:26, 2020-02-21 09:12:26, -81,        1, 50:64:2B:89:2C:C7,
6C:E8:5C:3D:DC:18, 2020-02-21 09:12:34, 2020-02-21 09:12:34, -80,        5, (not associated) ,Angah-TIME5Ghz_EXT
30:FF:F6:29:4C:FB, 2020-02-21 09:12:26, 2020-02-21 09:12:26, -77,        1, C4:71:54:40:E2:87,
28:3A:4D:45:88:19, 2020-02-21 09:12:29, 2020-02-21 09:12:36, -66,       11, 34:E8:94:7F:18:D7,
CC:50:E3:1B:A1:61, 2020-02-21 09:12:19, 2020-02-21 09:12:33, -58,        4, C4:71:54:40:E2:87,
DA:A1:19:28:62:A4, 2020-02-21 09:12:37, 2020-02-21 09:12:37, -85,        2, (not associated) ,

