
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C4:71:54:40:E2:87, 2020-04-18 12:36:45, 2020-04-18 12:36:59,  1,  -1, WPA, ,   , -78,        0,       13,   0.  0.  0.  0,   0, , 
C4:71:54:DA:42:6F, 2020-04-18 12:36:46, 2020-04-18 12:37:04,  3,  54, WPA2, CCMP, PSK, -81,       17,        9,   0.  0.  0.  0,   6, C-16-8, 
34:E8:94:46:19:6B, 2020-04-18 12:36:47, 2020-04-18 12:37:02,  6,  54, WPA2, CCMP, PSK, -79,        6,        2,   0.  0.  0.  0,  22, Parkhill Suites 2.4Ghz, 
C4:71:54:40:EB:7B, 2020-04-18 12:36:47, 2020-04-18 12:36:59, 11,  54, WPA2, CCMP, PSK, -77,        6,        0,   0.  0.  0.  0,  25, no internet access 2.4Ghz, 
34:E8:94:7F:18:D7, 2020-04-18 12:36:46, 2020-04-18 12:37:01,  9,  54, WPA2, CCMP, PSK, -75,        5,       11,   0.  0.  0.  0,  13, D2713A 2.4Ghz, 
40:9B:CD:2D:4D:D8, 2020-04-18 12:36:44, 2020-04-18 12:37:03,  6,  54, WPA2, CCMP TKIP, PSK, -72,       21,        1,   0.  0.  0.  0,   3, Jim, 
58:D5:6E:A1:2A:F6, 2020-04-18 12:36:45, 2020-04-18 12:37:03, 13, 720, WPA2, CCMP, PSK, -50,       36,       66,   0.  0.  0.  0,  17, DLINK-TIME 2.4GHz, 
28:3B:82:20:0E:EA, 2020-04-18 12:36:45, 2020-04-18 12:37:03,  2,  54, OPN, ,   , -48,       46,      238, 192.168.  1. 34,   6, D-Link, 
34:E8:94:4B:4D:4F, 2020-04-18 12:36:53, 2020-04-18 12:37:02,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:71:54:40:E2:86, 2020-04-18 12:36:54, 2020-04-18 12:36:55,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:71:54:DA:03:F3, 2020-04-18 12:37:02, 2020-04-18 12:37:02,  1,  54, WPA2, CCMP, PSK, -84,        3,        0,   0.  0.  0.  0,  18, Desting-TIME2.4Ghz, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
44:23:7C:ED:FE:7D, 2020-04-18 12:36:55, 2020-04-18 12:36:55, -87,        1, C4:71:54:40:E2:87,
F4:F5:DB:D2:18:3D, 2020-04-18 12:36:59, 2020-04-18 12:36:59, -84,        1, C4:71:54:40:E2:87,
00:DB:70:AF:AA:3E, 2020-04-18 12:36:53, 2020-04-18 12:37:02, -81,       43, 34:E8:94:4B:4D:4F,EH HOME-TIME2.4Ghz
C0:84:7D:4B:2E:DF, 2020-04-18 12:36:54, 2020-04-18 12:36:55, -80,        6, C4:71:54:40:E2:86,
CC:50:E3:1B:A1:61, 2020-04-18 12:36:52, 2020-04-18 12:36:59, -79,        4, C4:71:54:40:E2:87,
98:D8:63:7B:F6:8C, 2020-04-18 12:36:45, 2020-04-18 12:36:57, -78,       23, (not associated) ,sense
A0:57:E3:DB:91:EC, 2020-04-18 12:36:45, 2020-04-18 12:36:59, -76,       18, 58:D5:6E:A1:2A:F6,
98:9C:57:A3:24:A9, 2020-04-18 12:36:55, 2020-04-18 12:36:55, -68,       11, C4:71:54:40:E2:87,
72:2A:9D:D4:2B:57, 2020-04-18 12:36:45, 2020-04-18 12:37:03, -66,       27, 58:D5:6E:A1:2A:F6,
34:02:86:E3:7E:0C, 2020-04-18 12:36:45, 2020-04-18 12:37:03, -61,       39, 58:D5:6E:A1:2A:F6,
D4:6A:6A:BA:7E:C3, 2020-04-18 12:36:45, 2020-04-18 12:37:03, -30,      238, 28:3B:82:20:0E:EA,
F8:C3:9E:13:A4:B2, 2020-04-18 12:36:46, 2020-04-18 12:36:46,  -1,        8, 34:E8:94:7F:18:D7,
90:97:F3:60:9E:84, 2020-04-18 12:37:00, 2020-04-18 12:37:04,  -1,        3, C4:71:54:DA:42:6F,
8C:85:90:28:1E:E6, 2020-04-18 12:37:02, 2020-04-18 12:37:02, -70,        4, (not associated) ,
60:6C:66:7A:F1:70, 2020-04-18 12:37:02, 2020-04-18 12:37:02, -81,        2, (not associated) ,

